interaction,ligand,receptor,type,classification,source
ADCYAP1->-ADCYAP1R1,ADCYAP1,ADCYAP1R1,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADCYAP1->-VIPR1,ADCYAP1,VIPR1,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADCYAP1->-VIPR2,ADCYAP1,VIPR2,diffusion,Signaling by Pituitary adenylate,CellPhoneDB-v5
ADIPOQ->-ADIPOR1_ADIPOR2,ADIPOQ,ADIPOR1_ADIPOR2,diffusion,,CellPhoneDB-v5
ADM->-RAMP3,ADM,RAMP3,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM->-RAMP3_CALCRL_GPER1,ADM,RAMP3_CALCRL_GPER1,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM2->-CALCRL_RAMP2,ADM2,CALCRL_RAMP2,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
ADM2->-RAMP3_CALCRL_GPER1,ADM2,RAMP3_CALCRL_GPER1,diffusion,Signaling by Adrenomedullin,CellPhoneDB-v5
AGRN->-MUSK_LRP4,AGRN,MUSK_LRP4,diffusion,Signaling by Agrin,CellPhoneDB-v5
AGRN->-PTPRS,AGRN,PTPRS,diffusion,Signaling by Agrin,CellPhoneDB-v5
AGRP->-MC2R,AGRP,MC2R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC3R,AGRP,MC3R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC4R,AGRP,MC4R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGRP->-MC5R,AGRP,MC5R,diffusion,Signaling by Agouti-related protein,CellPhoneDB-v5
AGT->-AGTR1,AGT,AGTR1,diffusion,Signaling by Angiotensinogen,CellPhoneDB-v5
AGT->-AGTR2,AGT,AGTR2,diffusion,Signaling by Angiotensinogen,CellPhoneDB-v5
AKR1B1->-PTGFR,AKR1B1,PTGFR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGDR,AKR1C3,PTGDR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGDR2,AKR1C3,PTGDR2,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1C3->-PTGFR,AKR1C3,PTGFR,diffusion,Signaling by Prostaglandin,CellPhoneDB-v5
AKR1D1->-AR,AKR1D1,AR,diffusion,Signaling by Steroids,CellPhoneDB-v5
ALB->-B2M_FCGRT,ALB,B2M_FCGRT,diffusion,,CellPhoneDB-v5
ALCAM->-CD6,ALCAM,CD6,diffusion,,CellPhoneDB-v5
ALDH1A1->-RARA_CRABP2,ALDH1A1,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARA_RXRA_CRABP2,ALDH1A1,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARB_CRABP2,ALDH1A1,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARB_RXRB_CRABP2,ALDH1A1,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARG_CRABP2,ALDH1A1,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RARG_RXRG_CRABP2,ALDH1A1,RARG_RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RORB,ALDH1A1,RORB,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRA_CRABP2,ALDH1A1,RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRB_CRABP2,ALDH1A1,RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A1->-RXRG_CRABP2,ALDH1A1,RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARA_CRABP2,ALDH1A2,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARA_RXRA_CRABP2,ALDH1A2,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARB_CRABP2,ALDH1A2,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARB_RXRB_CRABP2,ALDH1A2,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARG_CRABP2,ALDH1A2,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RARG_RXRG_CRABP2,ALDH1A2,RARG_RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RORB,ALDH1A2,RORB,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRA_CRABP2,ALDH1A2,RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRB_CRABP2,ALDH1A2,RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A2->-RXRG_CRABP2,ALDH1A2,RXRG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARA_CRABP2,ALDH1A3,RARA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARA_RXRA_CRABP2,ALDH1A3,RARA_RXRA_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARB_CRABP2,ALDH1A3,RARB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARB_RXRB_CRABP2,ALDH1A3,RARB_RXRB_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
ALDH1A3->-RARG_CRABP2,ALDH1A3,RARG_CRABP2,diffusion,Signaling by Retinoic Acid,CellPhoneDB-v5
